

ID,error_po,error_status,audit_status,audit_log_auditby,audit_log_auditat,audit_log_verifiedby,audit_log_verifiedat,audit_log_approvedby,audit_log_approvedat,createdAt,createdBy,modifiedAt,modifiedBy
au-0001,10000000-0000-4000-8000-000000000001,404,Unchanged,system,2024-02-01T10:10:00Z,checker1,2024-02-01T11:00:00Z,approver1,2024-02-01T12:00:00Z,2024-02-01T12:00:00Z,system,2024-02-01T12:30:00Z,admin
au-0002,10000000-0000-4000-8000-000000000002,500,Pending Review,auditorA,2024-02-02T09:45:00Z,checker2,2024-02-02T10:15:00Z,approver2,2024-02-02T11:00:00Z,2024-02-02T11:00:00Z,user1,2024-02-02T11:30:00Z,user1
au-0003,10000000-0000-4000-8000-000000000003,403,Rejected,system,2024-02-03T11:20:00Z,checker3,2024-02-03T11:45:00Z,approver1,2024-02-03T12:30:00Z,2024-02-03T12:30:00Z,user2,2024-02-03T13:00:00Z,user2
au-0004,10000000-0000-4000-8000-000000000004,200,Verified,auditUser,2024-02-04T10:40:00Z,verifiedUser,2024-02-04T11:15:00Z,approver3,2024-02-04T13:00:00Z,2024-02-04T13:00:00Z,admin,2024-02-04T13:30:00Z,user3
au-0005,10000000-0000-4000-8000-000000000005,404,Corrected,checkerA,2024-02-05T14:20:00Z,checkerB,2024-02-05T14:45:00Z,approver4,2024-02-05T15:30:00Z,2024-02-05T15:30:00Z,user3,2024-02-05T16:00:00Z,user4
au-0006,10000000-0000-4000-8000-000000000006,409,Duplicate Entry,auditTeam,2024-02-06T09:20:00Z,checkerC,2024-02-06T09:50:00Z,approver2,2024-02-06T10:30:00Z,2024-02-06T10:30:00Z,admin,2024-02-06T11:00:00Z,user5
au-0007,10000000-0000-4000-8000-000000000007,304,Pending,auditorX,2024-02-07T11:40:00Z,checkerD,2024-02-07T12:10:00Z,approver1,2024-02-07T13:00:00Z,2024-02-07T13:00:00Z,user3,2024-02-07T13:30:00Z,user1
au-0008,10000000-0000-4000-8000-000000000008,500,System Error,system,2024-02-08T10:15:00Z,checkerE,2024-02-08T10:45:00Z,approver5,2024-02-08T11:30:00Z,2024-02-08T11:30:00Z,admin,2024-02-08T12:00:00Z,user4
au-0009,10000000-0000-4000-8000-000000000009,422,Blocked,auditorZ,2024-02-09T13:15:00Z,checkerF,2024-02-09T13:45:00Z,approver2,2024-02-09T14:30:00Z,2024-02-09T14:30:00Z,user4,2024-02-09T15:00:00Z,user5
au-0010,10000000-0000-4000-8000-000000000010,305,In Review,auditLead,2024-02-10T09:45:00Z,checkerG,2024-02-10T10:10:00Z,approver1,2024-02-10T11:00:00Z,2024-02-10T11:00:00Z,user5,2024-02-10T11:30:00Z,user2
