
gr_id,gr_number,gr_po,gr_date,gr_stor_loc,gr_status,gr_item_receivedquan,createdAt,createdBy,modifiedAt,modifiedBy
aaaaaaaa-0000-4000-8000-000000000001,700001,10000000-0000-4000-8000-000000000001,2024-02-15,L01,approved,full_received,2024-02-15T10:00:00Z,admin,2024-02-15T16:00:00Z,admin
aaaaaaaa-0000-4000-8000-000000000002,700002,10000000-0000-4000-8000-000000000002,2024-02-21,L01,approved,partially_received,2024-02-21T09:00:00Z,user1,2024-02-21T14:00:00Z,user1
aaaaaaaa-0000-4000-8000-000000000003,700003,10000000-0000-4000-8000-000000000003,2024-02-26,L02,approved,partially_received,2024-02-26T11:00:00Z,user1,2024-02-26T15:30:00Z,user2
aaaaaaaa-0000-4000-8000-000000000004,700004,10000000-0000-4000-8000-000000000004,2024-03-01,L03,approved,open,2024-03-01T10:00:00Z,admin,2024-03-01T16:00:00Z,user2
aaaaaaaa-0000-4000-8000-000000000005,700005,10000000-0000-4000-8000-000000000005,2024-03-01,L01,approved,full_received,2024-03-01T10:00:00Z,user3,2024-03-01T12:00:00Z,user4
aaaaaaaa-0000-4000-8000-000000000006,700006,10000000-0000-4000-8000-000000000006,2024-02-23,L04,approved,partially_received,2024-02-23T12:00:00Z,admin,2024-02-23T13:00:00Z,user5
aaaaaaaa-0000-4000-8000-000000000007,700007,10000000-0000-4000-8000-000000000007,2024-02-07,L03,approved,full_received,2024-02-07T11:30:00Z,user3,2024-02-07T12:00:00Z,user1
aaaaaaaa-0000-4000-8000-000000000008,700008,10000000-0000-4000-8000-000000000008,2024-03-11,L05,approved,full_received,2024-03-11T15:00:00Z,admin,2024-03-11T16:00:00Z,user2
aaaaaaaa-0000-4000-8000-000000000009,700009,10000000-0000-4000-8000-000000000009,2024-02-28,L01,approved,partially_received,2024-02-28T11:00:00Z,user4,2024-02-28T12:00:00Z,user1
aaaaaaaa-0000-4000-8000-000000000010,700010,10000000-0000-4000-8000-000000000010,2024-03-18,L02,approved,partially_received,2024-03-18T14:00:00Z,user5,2024-03-18T14:30:00Z,user4


