

gr_item_id,gr_item_ref_id,gr_item_po_id,gr_item_poitem_id,gr_item_received_quan,gr_item_uom_uom,gr_item_batchno,gr_item_remarks,createdAt,createdBy,modifiedAt,modifiedBy
gi-0001,aaaaaaaa-0000-4000-8000-000000000001,10000000-0000-4000-8000-000000000001,11111111-1111-4111-8111-111111111111,50,KG,101,"Fully received",2024-02-15T10:00:00Z,admin,2024-02-15T16:00:00Z,admin

gi-0002,aaaaaaaa-0000-4000-8000-000000000002,10000000-0000-4000-8000-000000000002,33333333-3333-4333-8333-333333333333,10,KG,102,"Partial GR 1/2",2024-02-21T09:00:00Z,user1,2024-02-21T14:00:00Z,user1
gi-0003,aaaaaaaa-0000-4000-8000-000000000002,10000000-0000-4000-8000-000000000002,44444444-4444-4444-8444-444444444444,0,KG,103,"No receipt yet",2024-02-21T09:10:00Z,user1,2024-02-21T14:00:00Z,user2

gi-0004,aaaaaaaa-0000-4000-8000-000000000003,10000000-0000-4000-8000-000000000003,55555555-5555-4555-8555-555555555555,15,MT,104,"Fully received",2024-02-26T11:00:00Z,user1,2024-02-26T15:30:00Z,user1
gi-0005,aaaaaaaa-0000-4000-8000-000000000003,10000000-0000-4000-8000-000000000003,66666666-6666-4666-8666-666666666666,400,BG,105,"Partial receipt",2024-02-26T11:15:00Z,user1,2024-02-26T15:30:00Z,user2

gi-0006,aaaaaaaa-0000-4000-8000-000000000004,10000000-0000-4000-8000-000000000004,77777777-7777-4777-8777-777777777777,30,PL,106,"Fully received",2024-03-01T10:00:00Z,admin,2024-03-01T16:00:00Z,admin
gi-0007,aaaaaaaa-0000-4000-8000-000000000004,10000000-0000-4000-8000-000000000004,88888888-8888-4888-8888-888888888888,0,SH,107,"Pending receipt",2024-03-01T10:10:00Z,admin,2024-03-01T16:00:00Z,user2

gi-0008,aaaaaaaa-0000-4000-8000-000000000005,10000000-0000-4000-8000-000000000005,99999999-9999-4999-8999-999999999999,5,KG,108,"Fully received",2024-03-01T10:00:00Z,user3,2024-03-01T12:00:00Z,user4
gi-0009,aaaaaaaa-0000-4000-8000-000000000005,10000000-0000-4000-8000-000000000005,aaaaaaaa-aaaa-4aaa-8aaa-aaaaaaaaaaaa,10,PC,109,"Fully received",2024-03-01T10:15:00Z,user3,2024-03-01T12:00:00Z,user4

gi-0010,aaaaaaaa-0000-4000-8000-000000000006,10000000-0000-4000-8000-000000000006,bbbbbbbb-bbbb-4bbb-8bbb-bbbbbbbbbbbb,35,MT,110,"Fully received",2024-02-23T12:00:00Z,admin,2024-02-23T13:00:00Z,admin
gi-0011,aaaaaaaa-0000-4000-8000-000000000006,10000000-0000-4000-8000-000000000006,cccccccc-cccc-4ccc-8ccc-cccccccccccc,150,PC,111,"Partial receipt",2024-02-23T12:10:00Z,admin,2024-02-23T13:00:00Z,user5

gi-0012,aaaaaaaa-0000-4000-8000-000000000007,10000000-0000-4000-8000-000000000007,dddddddd-dddd-4ddd-8ddd-dddddddddddd,30,MT,112,"Fully received",2024-02-07T11:30:00Z,user3,2024-02-07T11:45:00Z,user1
gi-0013,aaaaaaaa-0000-4000-8000-000000000007,10000000-0000-4000-8000-000000000007,eeeeeeee-eeee-4eee-8eee-eeeeeeeeeeee,0,PC,113,"No GR yet",2024-02-07T11:40:00Z,user3,2024-02-07T12:00:00Z,user1

gi-0014,aaaaaaaa-0000-4000-8000-000000000008,10000000-0000-4000-8000-000000000008,ffffffff-ffff-4fff-8fff-ffffffffffff,30,SH,114,"Fully received",2024-03-11T15:00:00Z,admin,2024-03-11T16:00:00Z,user4
gi-0015,aaaaaaaa-0000-4000-8000-000000000008,10000000-0000-4000-8000-000000000008,aaaaaaaa-aaaa-4aaa-8aaa-aaaaaaaaaa11,12,KG,115,"Fully received",2024-03-11T15:10:00Z,admin,2024-03-11T16:00:00Z,user2

gi-0016,aaaaaaaa-0000-4000-8000-000000000009,10000000-0000-4000-8000-000000000009,bbbbbbbb-bbbb-4bbb-8bbb-bbbbbbbb1111,20,KG,116,"Fully received",2024-02-28T11:00:00Z,user4,2024-02-28T12:00:00Z,user5
gi-0017,aaaaaaaa-0000-4000-8000-000000000009,10000000-0000-4000-8000-000000000009,cccccccc-cccc-4ccc-8ccc-cccccccc1111,25,PL,117,"Partial receipt",2024-02-28T11:15:00Z,user4,2024-02-28T12:00:00Z,user1

gi-00118,aaaaaaaa-0000-4000-8000-000000000010,10000000-0000-4000-8000-000000000010,dddddddd-dddd-4ddd-8ddd-dddddddd1111,30,KG,118,"Partial receipt",2024-03-18T14:00:00Z,user5,2024-03-18T14:30:00Z,user2
gi-00119,aaaaaaaa-0000-4000-8000-000000000010,10000000-0000-4000-8000-000000000010,eeeeeeee-eeee-4eee-8eee-eeeeeeee1111,100,PC,119,"Fully received",2024-03-18T14:15:00Z,user5,2024-03-18T14:30:00Z,user4


