

inv_header_id,inv_header_invnumber,inv_header_vendor_id,inv_header_vendor,inv_header_refpo,inv_header_gr,inv_header_date,inv_header_postdate,inv_header_cuky_cuky,inv_header_totalamt_before,inv_header_status,inv_header_taxamt,inv_header_total_amount,inv_header_reason_rejection,inv_header_aspect_postedat,inv_header_aspect_postedby,inv_header_aspect_verifiedat,inv_header_aspect_verifiedby,createdAt,createdBy,modifiedAt,modifiedBy
ih-0001,910001,a1b2c3d4-e5f6-4a7b-8c9d-0e1f2a3b4c5d,VEND001,4500000001,1001,2024-02-16,2024-02-16,USD,2250000,approved,405000,2655000,,2024-02-16T16:00:00Z,admin,2024-02-17T10:00:00Z,admin,2024-02-16T10:00:00Z,admin,2024-02-17T10:00:00Z,admin
ih-0002,910002,b2c3d4e5-f6a7-4b8c-9d0e-1f2a3b4c5d6e,VEND002,4500000002,1002,2024-02-21,2024-02-21,INR,950000,approved,171000,1121000,,2024-02-21T15:00:00Z,user1,2024-02-22T09:00:00Z,user2,2024-02-21T09:30:00Z,user1,2024-02-22T09:00:00Z,user2
ih-0003,910003,c3d4e5f6-a7b8-4c9d-0e1f-2a3b4c5d6e7f,VEND003,4500000003,1003,2024-02-26,2024-02-26,USD,100000,approved,18000,118000,,2024-02-26T16:00:00Z,user1,2024-02-27T11:00:00Z,user1,2024-02-26T11:00:00Z,user1,2024-02-27T11:00:00Z,user1
ih-0004,910004,d4e5f6a7-b8c9-4d0e-1f2a-3b4c5d6e7f8a,VEND004,4500000004,1004,2024-03-01,2024-03-01,INR,96000,approved,17280,113280,,2024-03-01T16:00:00Z,admin,2024-03-02T09:30:00Z,user2,2024-03-01T10:30:00Z,admin,2024-03-02T09:30:00Z,user2
ih-0005,910005,e5f6a7b8-c9d0-4e1f-2a3b-4c5d6e7f8a9b,VEND005,4500000005,1005,2024-03-01,2024-03-01,USD,45000,approved,8100,53100,,2024-03-01T12:30:00Z,user4,2024-03-02T10:00:00Z,user3,2024-03-01T14:00:00Z,user3,2024-03-02T10:00:00Z,user3
ih-0006,910006,f6a7b8c9-d0e1-4f2a-3b4c-5d6e7f8a9b0c,VEND006,4500000006,1006,2024-02-23,2024-02-23,INR,540000,approved,97200,637200,,2024-02-23T14:00:00Z,admin,2024-02-24T11:00:00Z,user5,2024-02-23T09:00:00Z,admin,2024-02-24T11:00:00Z,user5
ih-0007,910007,a7b8c9d0-e1f2-4a3b-4c5d-6e7f8a9b0c1d,VEND007,4500000007,1007,2024-02-07,2024-02-07,USD,1550000,approved,279000,1829000,,2024-02-07T13:00:00Z,user3,2024-02-08T09:00:00Z,user1,2024-02-07T11:30:00Z,user3,2024-02-08T09:00:00Z,user1
ih-0008,910008,b8c9d0e1-f2a3-4b4c-5d6e-7f8a9b0c1d2e,VEND008,4500000008,1008,2024-03-11,2024-03-11,INR,66000,approved,11880,77880,,2024-03-11T16:00:00Z,user4,2024-03-12T10:00:00Z,user4,2024-03-11T10:00:00Z,admin,2024-03-12T10:00:00Z,user4
ih-0009,910009,c9d0e1f2-a3b4-4c5d-6e7f-8a9b0c1d2e3f,VEND009,4500000009,1009,2024-02-28,2024-02-28,USD,960000,approved,172800,1132800,,2024-02-28T12:30:00Z,user5,2024-02-29T09:30:00Z,user1,2024-02-28T13:00:00Z,user4,2024-02-29T09:30:00Z,user1
ih-0010,910010,d0e1f2a3-b4c5-4d6e-7f8a-9b0c1d2e3f4a,VEND010,4500000010,1010,2024-03-18,2024-03-18,INR,45000,draft,8100,53100,"Partial GR pending",,,,,2024-03-18T14:30:00Z,user2,2024-03-18T14:30:00Z,user2

