

inv_item_id,inv_id,inv_item_po_id,inv_item_lineitem,inv_item_refgr,inv_item_quaninv_order_quan,inv_item_uom_uom,inv_item_netprice,inv_item_discount,inv_item_gst,inv_item_netamt,inv_item_taxamt,inv_item_totalamt,createdAt,createdBy,modifiedAt,modifiedBy
ii-0001,ih-0001,10000000-0000-4000-8000-000000000001,10,1001,50,KG,45000,0,18,2250000,405000,2655000,2024-02-16T10:00:00Z,admin,2024-02-17T10:00:00Z,admin
ii-0002,ih-0002,10000000-0000-4000-8000-000000000002,10,1002,10,KG,95000,0,18,950000,171000,1121000,2024-02-21T09:30:00Z,user1,2024-02-22T09:00:00Z,user2
ii-0003,ih-0003,10000000-0000-4000-8000-000000000003,10,1003,10,KG,8500,1500,18,100000,18000,118000,2024-02-26T11:00:00Z,user1,2024-02-27T11:00:00Z,user1
ii-0004,ih-0004,10000000-0000-4000-8000-000000000004,10,1004,30,PL,3200,0,18,96000,17280,113280,2024-03-01T10:30:00Z,admin,2024-03-02T09:30:00Z,user2
ii-0005,ih-0005,10000000-0000-4000-8000-000000000005,20,1005,1,PC,28500,0,18,28500,5130,33630,2024-03-01T14:00:00Z,user3,2024-03-02T10:00:00Z,user3
ii-0006,ih-0006,10000000-0000-4000-8000-000000000006,10,1006,35,MT,15500,2500,18,540000,97200,637200,2024-02-23T09:00:00Z,admin,2024-02-24T11:00:00Z,user5
ii-0007,ih-0007,10000000-0000-4000-8000-000000000007,10,1007,30,MT,52000,10000,18,1550000,279000,1829000,2024-02-07T11:30:00Z,user3,2024-02-08T09:00:00Z,user1
ii-0008,ih-0008,10000000-0000-4000-8000-000000000008,10,1008,30,SH,2200,0,18,66000,11880,77880,2024-03-11T10:00:00Z,admin,2024-03-12T10:00:00Z,user4
ii-0009,ih-0009,10000000-0000-4000-8000-000000000009,10,1009,20,KG,48000,0,18,960000,172800,1132800,2024-02-28T13:00:00Z,user4,2024-02-29T09:30:00Z,user1
ii-0010,ih-0010,10000000-0000-4000-8000-000000000010,10,1010,30,KG,125000,0,18,3750000,675000,4425000,2024-03-18T09:30:00Z,user5,2024-03-18T14:30:00Z,user2


