

po_id,po_lineitem_number,po_item_material_id,po_item_materials,po_item_materialsdesc,po_item_quan_order_quan,po_item_uom_uom,po_item_netprice,po_item_discount,po_item_gst,po_item_netprice_value,po_item_netprice_value2,po_item_received_quan,po_item_open_quan,po_item_status,createdAt,createdBy,modifiedAt,modifiedBy
10000000-0000-4000-8000-000000000001,10,11111111-1111-4111-8111-111111111111,MAT-ST-001,Mild Steel Sheet,50,KG,45000,0,18,2250000,0,50,0,full_received,2024-02-01T10:00:00Z,admin,2024-02-01T16:00:00Z,admin
10000000-0000-4000-8000-000000000001,20,22222222-2222-4222-8222-222222222222,MAT-ST-002,Stainless Steel Rod,20,KG,125000,0,18,2500000,0,15,5,partially_received,2024-02-01T10:00:00Z,admin,2024-02-01T16:00:00Z,user1

10000000-0000-4000-8000-000000000002,10,33333333-3333-4333-8333-333333333333,MAT-AL-001,Aluminum Sheet,10,KG,95000,0,18,950000,0,10,0,full_received,2024-02-02T09:30:00Z,user1,2024-02-02T14:00:00Z,user1
10000000-0000-4000-8000-000000000002,20,44444444-4444-4444-8444-444444444444,MAT-CU-001,Copper Wire,5,KG,680000,0,18,3400000,0,0,5,open,2024-02-02T09:30:00Z,user1,2024-02-02T14:00:00Z,user2

10000000-0000-4000-8000-000000000003,10,55555555-5555-4555-8555-555555555555,MAT-PL-001,PVC Pipe,15,MT,8500,1500,18,127500,0,15,0,full_received,2024-02-03T11:00:00Z,user1,2024-02-03T15:30:00Z,user1
10000000-0000-4000-8000-000000000003,20,66666666-6666-4666-8666-666666666666,MAT-CE-001,Cement Bags,500,BG,420,5000,18,205000,0,400,100,partially_received,2024-02-03T11:00:00Z,user1,2024-02-03T15:30:00Z,user2

10000000-0000-4000-8000-000000000004,10,77777777-7777-4777-8777-777777777777,MAT-WD-001,Wooden Plank,30,PL,3200,0,18,96000,0,30,0,full_received,2024-02-04T10:30:00Z,admin,2024-02-04T16:00:00Z,admin
10000000-0000-4000-8000-000000000004,20,88888888-8888-4888-8888-888888888888,MAT-GL-001,Glass Sheet,20,SH,7200,0,18,144000,0,0,20,open,2024-02-04T10:30:00Z,admin,2024-02-04T16:00:00Z,user2

10000000-0000-4000-8000-000000000005,10,99999999-9999-4999-8999-999999999999,MAT-RU-001,Rubber Sheet,5,KG,35000,10000,18,175000,0,5,0,full_received,2024-02-05T14:00:00Z,user2,2024-03-01T10:00:00Z,user3
10000000-0000-4000-8000-000000000005,20,aaaaaaaa-aaaa-4aaa-8aaa-aaaaaaaaaaaa,MAT-BR-001,Brass Fitting,10,PC,28500,0,18,285000,0,10,0,full_received,2024-02-05T14:00:00Z,user2,2024-03-01T10:00:00Z,user4

10000000-0000-4000-8000-000000000006,10,bbbbbbbb-bbbb-4bbb-8bbb-bbbbbbbbbbbb,MAT-EL-001,Electric Cable,35,MT,15500,2500,18,525000,0,35,0,full_received,2024-02-06T09:00:00Z,admin,2024-02-23T13:00:00Z,admin
10000000-0000-4000-8000-000000000006,20,cccccccc-cccc-4ccc-8ccc-cccccccccccc,MAT-MT-001,Metal Fasteners,200,PC,150,0,18,30000,0,150,50,partially_received,2024-02-06T09:00:00Z,admin,2024-02-23T13:00:00Z,user5

10000000-0000-4000-8000-000000000007,10,dddddddd-dddd-4ddd-8ddd-dddddddddddd,MAT-ST-003,Carbon Steel Pipe,30,MT,52000,10000,18,1550000,0,30,0,full_received,2024-02-07T11:30:00Z,user3,2024-02-07T11:30:00Z,user3
10000000-0000-4000-8000-000000000007,20,eeeeeeee-eeee-4eee-8eee-eeeeeeeeeeee,MAT-RB-001,Rubber Gasket,10,PC,800,0,18,8000,0,0,10,open,2024-02-07T11:30:00Z,user3,2024-02-07T11:30:00Z,user1

10000000-0000-4000-8000-000000000008,10,ffffffff-ffff-4fff-8fff-ffffffffffff,MAT-PL-002,Plastic Sheet,30,SH,2200,0,18,66000,0,30,0,full_received,2024-02-08T10:00:00Z,admin,2024-03-11T16:00:00Z,user4
10000000-0000-4000-8000-000000000008,20,aaaaaaaa-aaaa-4aaa-8aaa-aaaaaaaaaa11,MAT-CO-001,Copper Coil,12,KG,82000,5000,18,144000,0,12,0,full_received,2024-02-08T10:00:00Z,admin,2024-03-11T16:00:00Z,user2

10000000-0000-4000-8000-000000000009,10,bbbbbbbb-bbbb-4bbb-8bbb-bbbbbbbb1111,MAT-AL-002,Aluminum Rod,20,KG,48000,0,18,960000,0,20,0,full_received,2024-02-09T13:00:00Z,user4,2024-02-28T12:00:00Z,user5
10000000-0000-4000-8000-000000000009,20,cccccccc-cccc-4ccc-8ccc-cccccccc1111,MAT-GY-001,Gypsum Board,40,PL,1250,0,18,50000,0,25,15,partially_received,2024-02-09T13:00:00Z,user4,2024-02-28T12:00:00Z,user1

10000000-0000-4000-8000-000000000010,10,dddddddd-dddd-4ddd-8ddd-dddddddd1111,MAT-ST-002,Stainless Steel Rod,70,KG,125000,0,18,8750000,0,30,40,partially_received,2024-02-10T09:30:00Z,user5,2024-03-18T14:30:00Z,user2
10000000-0000-4000-8000-000000000010,20,eeeeeeee-eeee-4eee-8eee-eeeeeeee1111,MAT-EL-002,Electrical Switches,100,PC,450,0,18,45000,0,100,0,full_received,2024-02-10T09:30:00Z,user5,2024-03-18T14:30:00Z,user4


